REF_AREA,Reference area,MEASURE,Measure,SEX,OBS_VALUE,Unit of measure
USA,United States,PAW,Paid work or study,M,305.464019775391,Minutes per day
USA,United States,OTH,Other,F,23.2864551544189,Minutes per day
USA,United States,LEI,Leisure,F,255.095794677734,Minutes per day
USA,United States,PCA,Personal care,F,675.649658203125,Minutes per day
USA,United States,UPW,Unpaid work,F,234.696731567383,Minutes per day
USA,United States,PAW,Paid work or study,F,251.271331787109,Minutes per day
USA,United States,LEI,Leisure,_T,279.856750488281,Minutes per day
USA,United States,PCA,Personal care,_T,664.044677734375,Minutes per day
USA,United States,UPW,Unpaid work,_T,197.123748779297,Minutes per day
USA,United States,PAW,Paid work or study,_T,278.207092285156,Minutes per day
BGR,Bulgaria,PCA,Personal care,M,732.605420899345,Minutes per day
BGR,Bulgaria,UPW,Unpaid work,M,125.757672875661,Minutes per day
BGR,Bulgaria,PAW,Paid work or study,M,305.877348101931,Minutes per day
BGR,Bulgaria,OTH,Other,F,5.02258751815816,Minutes per day
BGR,Bulgaria,LEI,Leisure,F,210.477968895029,Minutes per day
BGR,Bulgaria,PCA,Personal care,F,711.404542538075,Minutes per day
BGR,Bulgaria,UPW,Unpaid work,F,256.891407558214,Minutes per day
BGR,Bulgaria,PAW,Paid work or study,F,256.20358286702,Minutes per day
BGR,Bulgaria,OTH,Other,_T,5.07524738190659,Minutes per day
BGR,Bulgaria,LEI,Leisure,_T,240.974993237818,Minutes per day
BGR,Bulgaria,PCA,Personal care,_T,723.052900319744,Minutes per day
BGR,Bulgaria,UPW,Unpaid work,_T,188.972884305462,Minutes per day
BGR,Bulgaria,PAW,Paid work or study,_T,281.923912648024,Minutes per day
BGR,Bulgaria,OTH,Other,M,4.48473063780057,Minutes per day
CHN,China (People’s Republic of),UPW,Unpaid work,F,234.0,Minutes per day
CHN,China (People’s Republic of),PAW,Paid work or study,M,390.0,Minutes per day
CHN,China (People’s Republic of),PAW,Paid work or study,F,291.0,Minutes per day
CHN,China (People’s Republic of),OTH,Other,_T,14.9895905621096,Minutes per day
CHN,China (People’s Republic of),LEI,Leisure,_T,227.841776544067,Minutes per day
CHN,China (People’s Republic of),PCA,Personal care,_T,693.51839000694,Minutes per day
CHN,China (People’s Republic of),UPW,Unpaid work,_T,163.886190145732,Minutes per day
CHN,China (People’s Republic of),PAW,Paid work or study,_T,339.764052741152,Minutes per day
CHN,China (People’s Republic of),OTH,Other,M,15.0,Minutes per day
CHN,China (People’s Republic of),OTH,Other,F,12.0,Minutes per day
CHN,China (People’s Republic of),LEI,Leisure,M,248.0,Minutes per day
CHN,China (People’s Republic of),LEI,Leisure,F,211.0,Minutes per day
CHN,China (People’s Republic of),PCA,Personal care,M,696.0,Minutes per day
CHN,China (People’s Republic of),PCA,Personal care,F,692.0,Minutes per day
HRV,Croatia,PCA,Personal care,M,661.179109311104,Minutes per day
HRV,Croatia,UPW,Unpaid work,M,148.972486567497,Minutes per day
HRV,Croatia,PAW,Paid work or study,M,344.435708427429,Minutes per day
HRV,Croatia,OTH,Other,F,10.7470189332962,Minutes per day
HRV,Croatia,LEI,Leisure,F,225.084761023521,Minutes per day
HRV,Croatia,PCA,Personal care,F,648.336516022682,Minutes per day
HRV,Croatia,UPW,Unpaid work,F,257.727575540543,Minutes per day
HRV,Croatia,PAW,Paid work or study,F,298.104226112366,Minutes per day
HRV,Croatia,OTH,Other,_T,10.2766464471817,Minutes per day
HRV,Croatia,LEI,Leisure,_T,250.568820726872,Minutes per day
HRV,Croatia,PCA,Personal care,_T,654.783580982685,Minutes per day
HRV,Croatia,UPW,Unpaid work,_T,202.91339161396,Minutes per day
HRV,Croatia,PAW,Paid work or study,_T,321.457530925274,Minutes per day
HRV,Croatia,OTH,Other,M,9.80348113775253,Minutes per day
IND,India,PCA,Personal care,M,702.771927389694,Minutes per day
IND,India,UPW,Unpaid work,M,51.767242334305,Minutes per day
IND,India,PAW,Paid work or study,M,390.571087302003,Minutes per day
IND,India,OTH,Other,F,12.5521578206643,Minutes per day
IND,India,LEI,Leisure,F,220.948493663259,Minutes per day
IND,India,PCA,Personal care,F,669.860366882752,Minutes per day
IND,India,UPW,Unpaid work,F,351.935306392856,Minutes per day
IND,India,PAW,Paid work or study,F,184.703675240469,Minutes per day
IND,India,OTH,Other,_T,12.3884028738259,Minutes per day
IND,India,LEI,Leisure,_T,253.996122734101,Minutes per day
IND,India,PCA,Personal care,_T,687.489914767049,Minutes per day
IND,India,UPW,Unpaid work,_T,191.146144119023,Minutes per day
IND,India,PAW,Paid work or study,_T,294.979415506001,Minutes per day
IND,India,OTH,Other,M,12.2464494564219,Minutes per day
ZAF,South Africa,LEI,Leisure,M,334.19432,Minutes per day
ZAF,South Africa,PCA,Personal care,M,695.37227,Minutes per day
ZAF,South Africa,UPW,Unpaid work,M,102.9391411,Minutes per day
ZAF,South Africa,PAW,Paid work or study,M,294.16317,Minutes per day
ZAF,South Africa,OTH,Other,F,18.6988008,Minutes per day
ZAF,South Africa,LEI,Leisure,F,281.849864,Minutes per day
ZAF,South Africa,PCA,Personal care,F,694.82946,Minutes per day
ZAF,South Africa,UPW,Unpaid work,F,249.5884149,Minutes per day
ZAF,South Africa,OTH,Other,_T,16.1621313,Minutes per day
ZAF,South Africa,LEI,Leisure,_T,305.898196,Minutes per day
ZAF,South Africa,PCA,Personal care,_T,695.07884,Minutes per day
ZAF,South Africa,UPW,Unpaid work,_T,182.2847917,Minutes per day
ZAF,South Africa,PAW,Paid work or study,_T,240.57606,Minutes per day
ZAF,South Africa,OTH,Other,M,13.1774,Minutes per day
AUS,Australia,OTH,Other,F,22.0,Minutes per day
AUT,Austria,OTH,Other,_T,11.85609,Minutes per day
BEL,Belgium,OTH,Other,F,9.03426738223147,Minutes per day
CAN,Canada,OTH,Other,_T,30.5236915826797,Minutes per day
DNK,Denmark,UPW,Unpaid work,_T,216.627341391084,Minutes per day
EST,Estonia,PAW,Paid work or study,_T,293.061746082749,Minutes per day
FIN,Finland,OTH,Other,M,42.4529036311851,Minutes per day
FRA,France,OTH,Other,M,7.84227541389787,Minutes per day
DEU,Germany,OTH,Other,M,4.32273861989034,Minutes per day
GRC,Greece,OTH,Other,_T,6.0,Minutes per day
HUN,Hungary,PAW,Paid work or study,_T,237.614003431622,Minutes per day
IRL,Ireland,OTH,Other,_T,41.172009,Minutes per day
ITA,Italy,UPW,Unpaid work,_T,219.038745437563,Minutes per day
JPN,Japan,OTH,Other,_T,37.0,Minutes per day
KOR,Korea,LEI,Leisure,_T,258.260203841049,Minutes per day
LVA,Latvia,OTH,Other,M,3.26037973824294,Minutes per day
LTU,Lithuania,OTH,Other,M,7.60514093031033,Minutes per day
LUX,Luxembourg,OTH,Other,M,13.0250157010083,Minutes per day
MEX,Mexico,OTH,Other,M,19.42664,Minutes per day
NLD,Netherlands,LEI,Leisure,_T,314.763994846005,Minutes per day
NZL,New Zealand,OTH,Other,_T,17.0,Minutes per day
NOR,Norway,LEI,Leisure,_T,353.967756063685,Minutes per day
POL,Poland,OTH,Other,M,31.9113578796387,Minutes per day
PRT,Portugal,PCA,Personal care,_T,675.692307692308,Minutes per day
SVN,Slovenia,OTH,Other,M,5.01392757660167,Minutes per day
ESP,Spain,OTH,Other,_T,13.424608,Minutes per day
SWE,Sweden,OTH,Other,M,7.0,Minutes per day
TUR,Türkiye,PCA,Personal care,M,679.09766,Minutes per day
GBR,United Kingdom,UPW,Unpaid work,_T,194.527885058573,Minutes per day
USA,United States,OTH,Other,_T,20.7677211761475,Minutes per day
BGR,Bulgaria,LEI,Leisure,M,271.274916466791,Minutes per day
CHN,China (People’s Republic of),UPW,Unpaid work,M,91.0,Minutes per day
HRV,Croatia,LEI,Leisure,M,275.609206831455,Minutes per day
IND,India,LEI,Leisure,M,282.643293517576,Minutes per day
ZAF,South Africa,PAW,Paid work or study,F,195.03345,Minutes per day
