video_id,category,duration_sec,views,title
wlaS7EyL1fA,20,10568,92954,【 トモダチコレクション わくわく生活 】トモコレ最新作👻舞元よ幸せになれ【 椎名唯華/にじさんじ】
impPzwQ9KrU,20,922,40374,【vlog#2】世界大会前スクリムで驚異の11キルビクロイした！！【フォートナイト/fortnite】
BTZOAZvaJfo,20,1479,297869,ドラクエ12が発表されたが全部作り直し＆発売日未定＆まだ待てで全世界のファンの感情が壊れる..なぜ作り直したのか？その必要は？ドラクエはもうこれで終わり？スクエニはドラクエを救えるのか
BUoIweiUzzU,24,17,3941608,警察を顔パスするshoさんw#すごい #お笑い #警察 #shorts
wPy6Di04qE0,24,30,1763305,ひょうろくっぽい人いたら反射的に声かけちゃう説! 小峠英二 ひょうろく 高野正成 白澤直樹  #水曜日のダウンタウン #小峠英二  #ひょうろく# 高野正成 #白澤直樹
Ol8bnzLicKQ,24,30,2885485,バイクでも無風…スポーツカー級じゃないと無理だったｗ#水曜日のダウンタウン
2M8qi1Ac4KA,24,22,2573072,コッシーが魔改造されました・・・
Vc2Eyh5TV_8,24,27,2291447,#おもしろ #面白い #こども
_lBs848F2sA,24,26,1775540,彼はお金の価値を誰よりも知っている 🥶🥶 #ヒカキン #切り抜き
JBuz82wCol4,24,12,2368761,令和版EXILE #shorts #おもしろ #おすすめ #すごい #バズれ#海外
TIGSKsHCePs,24,33,2655884,【神回】日常がコントすぎる⁉︎野球部のおもしろハプニングの瞬間TOP5
RVY5W0pyXqA,24,77,4435916,マジどーいう仕組みなのDaiGoの心理戦#shorts #smap #daigo
3M2i3JxNx-0,24,33,68425273,Ranking The Best Wasp Nest Removal Moments 2
ja2bqneY5Js,24,52,2801880,ナダルの信頼ゲームがおもろすぎるw#すごい #お笑い #shorts
kw4JLEyO7ng,24,58,2752972,トイレのやつ、思ってたん私だけじゃなくて安心した！笑 #月曜から夜ふかし #マツコ・デラックス#マツコ #デラックス
yamBWQtNSDI,24,180,4117309,心があたたかくなる90年代の名作映画
XGvpKRxG3pc,24,36,1096933,新宝島MVで大失敗！？
KCuwW-lUvKg,24,78,2870282,家族のバズった5選！
6wwnpAvMmPY,24,57,3149700,【神回】クッパさん好きだわw  #お笑い #爆笑
h1qP1YYnK0o,24,94,1325084,立派に成長してくれてありがとう #shorts
8JqrKxC_uhQ,24,60,1892203,頭おかしいが咄嗟に出てくる女の人最高 #月曜から夜ふかし #マツコ・デラックス#マツコ #デラックス
kes6dekQ82o,24,3385,3132935,瓜田さんの頭突きで田中雄士がマジギレ、大乱闘で収録ストップ【Breaking Down20のオーディションVol.1】
BErb342WGN4,24,38,2819968,双子テレパシーシンクロチャレンジ！
ojQGXS6coAU,24,63,1470253,逮捕で経験すること👮 #shorts #警察
7-LI3QPk4dM,24,91,3192290,10年間無欠勤の社員に本社が訪れた理由
iXumYogM45Q,24,21,2004343,女は黙って男にこれをあげれば全部うまく行く #shorts
td3hxD1Sal4,24,64,2205631,㊗️400万再生！【竹田恒泰】最後には人間が勝つ?!｢AIはルールを破れない｣
L63hcqU1Sk8,24,54,3861592,嫌なヤツには面白がるって作戦😊 #サカナクション #山口一郎 #切り抜き
vQw2Z6TqUmI,24,31,2424923,たった一発の蹴りだけ許可 — 空手家はプロに勝てるのか？ #水曜日のダウンタウン  空手家が道具に踏り1発OKのルールでプロと5番勝負!  #空手家 #爆笑
cw1xqivhNSU,24,52,841033,【濱田祐太郎】ミャクミャク#神速49秒 #お笑い #毒吐き #ルールは守る #偏見 #最速 #まい賞 #おすすめバラエティ #49秒グランプリ #shorts
MyrJP7S6VEo,24,66,2586088,畑山隆則が梅宮にマジギレする直前… #shorts #畑山隆則 #竹原慎二 #ガチンコ #ガチンコファイトクラブ
kA_JBgvCV2A,24,66,1271163,加熱式７割くらいだと思ってた😳僕は以前吸ってたけど吸った後カラダがめっちゃ重くなるのが嫌でやめた😂喫煙所での上司は優しかったしタバコミュニケーション確実にあるよね。偉い世代の喫煙率高いし！#喫煙者
vK6sjLsQH0s,24,57,1021010,シロの一戸建て #クレしん #アニメ #漫画 #グルメ #料理 #anime #shorts
my7jBJ-2AXc,24,58,1153727,ぉ前 全然 俺のことを分かってねえよ〟 #ドラマ #shorts #マイボス マイヒーロー
keWiI6m2lpE,24,24,802746,スタッフにキレられる2人がおもろすぎるw#すごい #お笑い #shorts
_WJwNtmOMBA,24,138,1460172,フランスって嫌われすぎ？ #文化の違い #ヨーロッパの偏見 #フランス
05Khx49jh90,24,19,868550,上司と部下が喧嘩しました。
yQ9WenZpQEo,24,11,947192,初めから真っ直ぐにしておいてほしい #すごい #おもしろ #バズれ #おすすめ #おもしろ動画 #shorts #海外
Ox1BZSoanwA,24,58,2768033,暗金ウシジマくん外伝 暗金ウシジマさん — 闇金の女王、降臨 🔥
z9tyCkv-7nA,24,50,1415799,ストーカーなのにエンジョイ勢な奴
timOQ5XDJ6E,24,31,1521135,フラッシュ暗算に挑戦するナイスガイ #QuizKnockと学ぼう #Shorts
DYv2uyjXvaU,24,37,1106181,作曲発表会に向けピアノの練習に力が入る娘の足元で変な趣味を愉しむウサギ #ウサギ #うさぎ #うさぎのいる暮らし #shorts
eez7TNoWGdI,24,30,936155,フジモン「顔デカイからや」発動集www #水曜日のダウンタウン
UU7wisNsFoY,24,56,3152999,みさえvsモンスターペアレント『子供のケンカに親が出るゾ』#クレヨンしんちゃん #野原しんのすけ #野原みさえ #野原ひろし #野原ひまわり #爆笑
cyIhEqCbcNw,24,22,2174056,モッパン撮ってたらカメラ奪われたYouTuber
PZTOEyDkAkg,24,16,740214,体張ってる日本のお笑い芸人に圧倒される外国人 #tiktok #tiktokvideo #memes #shorts #おもしろ #おすすめ #お笑い芸人 #海外 #レース
2SAnBWCBIKo,24,62,1732133,彼女がメロジョイの新作メロジョイミニランドを狙ってたので遂に遂に遂にです。#メロジョイ #スクイーズ
xJRDPHtkJhM,24,21,828511,軍隊のダンスを比較してみたら
QvqsEpNJMi8,24,32,984197,子供の頃のあなたの行動当てます！ #shorts
NDUkfSfZ4n4,24,11,1397057,海外の美女たちもメロメロにするめめ #snowman #目黒蓮
UX7VwQoYF1E,24,66,4996688,友達との中を深める方法
016jOixxeN4,24,56,1715249,【究極の二択】結婚式までに60kg痩せてドレスを着ろ！ #重音テト #初音ミク #巡音ルカ #鏡音リン #VOCALOID
13X4-sVQUPc,24,79,1394818,酒を飲まなくても呑まれた話
8ecZGtuLQVw,25,74,313766,【会見冒頭コメント】巨人・阿部慎之助監督が辞任　本人が取材に応じる　暴行容疑での逮捕受け ｜TBS NEWS DIG　#shorts
r0hQF7vgZ1c,25,61,86075,ニュース5選！最後のみんなどっち派？？#ニュース #世界 #隕石 #クイズ
gegklqUFT24,25,2038,184074,【同志社が虚偽報告】文科省による辺野古転覆事故の聞き取り調査報告書について・・・（虎ノ門ニュース×須田慎一郎）
Qu3CE7d_Bkk,25,613,481993,【速報】プロ野球・巨人の阿部前監督が会見  長女への暴行容疑できのう逮捕後釈放
mv_npTUF7mY,25,136,802318,車の窓から顔を出し…21歳女性死亡　直前の映像を入手　事故の詳しい状況は？ 岐阜・笠松町
2lFIs-2u19s,25,1918,611463,【栃木強盗殺人】少年4人(16)を逮捕…なぜ低年齢化？“トクリュウ型”闇バイトの実態｜アベプラ
h6vqSu8EEIw,25,99,390028,巨人軍 阿部慎之助監督 逮捕され釈放　「かっとなった」娘への暴行容疑(2026年5月26日)
mvHhkWfjBgo,25,7676,111010,R8 5/29 百田尚樹・有本香のニュース生放送　あさ8時！ 第848回
rz4WmIL8MGQ,25,935,67750,巨人・阿部慎之助前監督が“18歳長女への暴行”容疑で逮捕された経緯「阿部さんの家から男性の叫び声が聞こえた」
BHgiqERKHMU,25,3159,411352,【高橋洋一が斬る】VS今野忍とびっきり初共演「元朝日新聞らしからぬ人だね」皇室典範改正と男系男子を語る／国力研究会無力化⁉しれっとあの人も静岡は全員／消費税ゼロ法案提出明言／レア都市鉱山で静岡に希望
larfpYF8o20,25,1158,90101,これからどうなる辺野古沖事故「刑事告発」「教育基本法違反」【産経ニュースLive】
r7WyVqW7-Wc,25,6246,80353,【ニッポンジャーナル】上念司×井上和彦 最新ニュースを解説！
ypvZjLsKy4c,25,865,81447,隠れ失業2億人！中国経済ガチカウントダウン！輸出一本足打法の限界はすぐそこ！コロナ乗り越えた仏高級百貨店北京旗艦店を閉鎖で歴史に幕！消費冷え込みが止まらない！｜上念司チャンネル ニュースの虎側
m7C3BR1w-tE,25,1559,51264,衝撃ニュース！ついにロシア軍の“恒例5月攻勢”が停止へ！戦争5年目で初めて「いつもの前進」が消滅…ウクライナ軍が石油基地・製油所・補給線を同時破壊し、ロシア軍の後方システムそのものが崩壊開始へ！
