tab,edu,age,job,value
13,03,01,999,18311.0
13,06,01,010,99831.0
13,06,01,020,237204.0
13,06,01,030,223248.0
13,06,01,040,141769.0
13,06,01,050,44275.0
13,06,01,060,5549.0
13,06,01,070,541.0
13,06,01,080,44744.0
13,06,01,090,14344.0
13,06,01,100,5494.0
13,06,01,110,14549.0
13,06,01,999,20030.0
13,03,02,010,7.0
13,03,02,020,1796.0
13,03,02,030,3641.0
13,03,02,040,1541.0
13,03,02,050,2974.0
13,03,02,060,182.0
13,03,02,070,27.0
13,03,02,080,9325.0
13,03,02,090,621.0
13,03,02,100,1509.0
13,03,02,110,1252.0
13,03,02,999,445.0
13,03,03,010,67.0
13,03,03,020,6117.0
13,03,03,030,9063.0
13,03,03,040,6551.0
13,03,03,050,9988.0
13,03,03,060,589.0
13,03,03,070,244.0
13,03,03,080,27331.0
13,03,03,090,3101.0
13,03,03,100,4223.0
13,03,03,110,3980.0
13,03,03,999,1033.0
13,06,03,010,29.0
13,06,03,020,24516.0
13,06,03,030,19521.0
13,06,03,040,16421.0
13,06,03,050,4181.0
13,06,03,060,399.0
13,06,03,070,52.0
13,06,03,080,2766.0
13,06,03,090,550.0
13,06,03,100,467.0
13,06,03,110,736.0
13,06,03,999,1367.0
13,03,04,010,208.0
13,03,04,020,5583.0
13,03,04,030,8752.0
13,03,04,040,6891.0
13,03,04,050,9801.0
13,03,04,060,550.0
13,03,04,070,315.0
13,03,04,080,24270.0
13,03,04,090,4186.0
13,03,04,100,4525.0
13,03,04,110,3883.0
13,03,04,999,1388.0
13,06,04,010,951.0
13,06,04,020,44750.0
13,06,04,030,38136.0
13,06,04,040,28528.0
13,06,04,050,7258.0
13,06,04,060,431.0
13,06,04,070,105.0
13,06,04,080,7067.0
13,06,04,090,1513.0
13,06,04,100,735.0
13,06,04,110,1651.0
13,06,04,999,2587.0
13,03,05,010,623.0
13,03,05,020,5868.0
13,03,05,030,10334.0
13,03,05,040,7912.0
13,03,05,050,9356.0
13,03,05,060,648.0
13,03,05,070,212.0
13,03,05,080,26192.0
13,03,05,090,5473.0
13,03,05,100,3674.0
13,03,05,110,4650.0
13,03,05,999,1527.0
13,06,05,010,2863.0
13,06,05,020,33272.0
13,06,05,030,33953.0
13,06,05,040,21332.0
13,06,05,050,7499.0
13,06,05,060,553.0
13,06,05,070,47.0
13,06,05,080,6522.0
13,06,05,090,1880.0
13,06,05,100,806.0
13,06,05,110,1802.0
13,06,05,999,2318.0
13,03,06,010,2123.0
13,03,06,020,6446.0
13,03,06,030,12816.0
13,03,06,040,9278.0
13,03,06,050,10694.0
13,03,06,060,916.0
13,03,06,070,247.0
13,03,06,080,26496.0
13,03,06,090,8176.0
13,03,06,100,4056.0
13,03,06,110,5894.0
13,03,06,999,1483.0
13,06,06,010,6520.0
13,06,06,020,29594.0
13,06,06,030,32029.0
13,06,06,040,19049.0
13,06,06,050,6103.0
13,06,06,060,680.0
13,06,06,070,70.0
13,06,06,080,6758.0
13,06,06,090,1448.0
13,06,06,100,661.0
13,06,06,110,1665.0
13,06,06,999,2644.0
13,03,07,010,5304.0
13,03,07,020,9486.0
13,03,07,030,17694.0
13,03,07,040,10742.0
13,03,07,050,12437.0
13,03,07,060,1198.0
13,03,07,070,272.0
13,03,07,080,31572.0
13,03,07,090,12747.0
13,03,07,100,5336.0
13,03,07,110,7458.0
13,03,07,999,2217.0
13,06,07,010,14634.0
13,06,07,020,29117.0
13,06,07,030,28122.0
13,06,07,040,16495.0
13,06,07,050,5875.0
13,06,07,060,528.0
13,06,07,070,87.0
13,06,07,080,6011.0
13,06,07,090,1743.0
13,06,07,100,601.0
13,06,07,110,2054.0
13,06,07,999,2500.0
13,03,08,010,9746.0
13,03,08,020,13099.0
13,03,08,030,25749.0
13,03,08,040,14431.0
13,03,08,050,15604.0
13,03,08,060,1517.0
13,03,08,070,280.0
13,03,08,080,36217.0
13,03,08,090,18209.0
13,03,08,100,6086.0
13,03,08,110,8925.0
13,03,08,999,3131.0
13,06,08,010,22209.0
13,06,08,020,26341.0
13,06,08,030,24654.0
13,06,08,040,14975.0
13,06,08,050,4624.0
13,06,08,060,457.0
13,06,08,070,59.0
13,06,08,080,5367.0
13,06,08,090,1542.0
13,06,08,100,772.0
13,06,08,110,1822.0
13,06,08,999,3163.0
13,03,09,010,11609.0
13,03,09,020,11482.0
13,03,09,030,24194.0
13,03,09,040,12819.0
13,03,09,050,16362.0
13,03,09,060,1689.0
13,03,09,070,303.0
13,03,09,080,30340.0
13,03,09,090,18294.0
13,03,09,100,4391.0
13,03,09,110,7955.0
13,03,09,999,2879.0
13,06,09,010,24798.0
13,06,09,020,19547.0
13,06,09,030,18630.0
13,06,09,040,10262.0
13,06,09,050,2945.0
13,06,09,060,469.0
13,06,09,070,43.0
13,06,09,080,3561.0
13,06,09,090,1875.0
13,06,09,100,534.0
13,06,09,110,1397.0
13,06,09,999,2740.0
13,03,10,010,11039.0
13,03,10,020,11058.0
13,03,10,030,20165.0
13,03,10,040,12190.0
13,03,10,050,14753.0
13,03,10,060,2107.0
13,03,10,070,338.0
13,03,10,080,25190.0
13,03,10,090,15074.0
13,03,10,100,3734.0
13,03,10,110,7370.0
13,03,10,999,2555.0
13,06,10,010,18574.0
13,06,10,020,15370.0
13,06,10,030,14256.0
13,06,10,040,8046.0
13,06,10,050,2322.0
13,06,10,060,438.0
13,06,10,070,23.0
13,06,10,080,3488.0
13,06,10,090,1581.0
13,06,10,100,332.0
13,06,10,110,1240.0
13,06,10,999,1796.0
13,03,11,010,3893.0
13,03,11,020,7300.0
13,03,11,030,10994.0
13,03,11,040,7688.0
13,03,11,050,10248.0
13,03,11,060,2452.0
13,03,11,070,188.0
13,03,11,080,15828.0
13,03,11,090,9704.0
13,03,11,100,2834.0
13,03,11,110,5598.0
13,03,11,999,1324.0
13,06,11,010,6987.0
13,06,11,020,9698.0
13,06,11,030,10630.0
13,06,11,040,4931.0
13,06,11,050,2128.0
13,06,11,060,773.0
13,06,11,070,34.0
13,06,11,080,2245.0
13,06,11,090,1239.0
13,06,11,100,321.0
13,06,11,110,1313.0
13,06,11,999,809.0
13,03,12,010,1443.0
13,03,12,020,3346.0
13,03,12,030,3364.0
13,03,12,040,3361.0
13,03,12,050,5052.0
13,03,12,060,1723.0
13,03,12,070,145.0
13,03,12,080,5233.0
13,03,12,090,4624.0
13,03,12,100,1937.0
13,03,12,110,3015.0
13,03,12,999,209.0
13,06,12,010,1659.0
13,06,12,020,3374.0
13,06,12,030,2464.0
13,06,12,040,1393.0
13,06,12,050,773.0
13,06,12,060,450.0
13,06,12,070,7.0
13,06,12,080,664.0
13,06,12,090,749.0
13,06,12,100,222.0
13,06,12,110,653.0
13,06,12,999,93.0
13,03,13,010,723.0
13,03,13,020,1133.0
13,03,13,030,1882.0
13,03,13,040,1231.0
13,03,13,050,2256.0
13,03,13,060,1026.0
13,03,13,070,82.0
13,03,13,080,2070.0
13,03,13,090,1904.0
13,03,13,100,839.0
13,03,13,110,1339.0
13,03,13,999,119.0
13,06,13,010,607.0
13,06,13,020,1624.0
13,06,13,030,855.0
13,06,13,040,336.0
13,06,13,050,566.0
13,06,13,060,373.0
13,06,13,070,14.0
13,06,13,080,295.0
13,06,13,090,226.0
13,06,13,100,43.0
13,06,13,110,215.0
13,06,13,999,13.0
