,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"特殊詐欺の認知・検挙状況等について（令和８年
１月〜３月）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１　特殊詐欺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注１),"　特殊詐欺とは、被害者に電話やＳＮＳ等を通じて、対面することなく信頼させ又は関係を深めて信用させ、指定した預貯金口座への振込その他の方法により、現金等をだまし取る犯罪（現金等を脅し取る恐喝及び隙を見てキャッシュカード詐欺等を窃取する窃盗を含む。）
の総称をいう。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注２),　実質的な被害総額とは、詐取又は窃取されたキャッシュカード等を使用して、ＡＴＭから引き出された額（実務統計による集計値）等を加えた額である（下記の表についても同じ。ただし平成２２〜２４年の数値についてはオレオレ詐欺における実質的な被害総額のみ集計している。）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注３),　平成１６年及び１７年の数値は、３手口（オレオレ詐欺、架空料金請求詐欺及び融資保証金詐欺）の合計、平成１８〜２１年の数値は、４手口（オレオレ詐欺、架空料金請求詐欺、融資保証金詐欺及び還付金詐欺）の合計、平成２２〜２９年の数値は、８手口（オレオレ詐欺、架空料金請求詐欺、融資保証金詐欺、還付金詐欺、金融商品詐欺、ギャンブル詐欺、交際あっせん詐欺及びその他の特殊詐欺）の合計、平成３０年及び令和元年の数値は、９手口（オレオレ詐欺、架空料金請求詐欺、融資保証金詐欺、還付金詐欺、金融商品詐欺、ギャンブル詐欺、交際あっせん詐欺、キャッシュカード詐欺盗及びその他の特殊詐欺）の合計、令和２年〜７年の数値は、１０手口（オレオレ詐欺、預貯金詐欺、架空料金請求詐欺、融資保証金詐欺、還付金詐欺、金融商品詐欺、ギャンブル詐欺、交際あっせん詐欺、キャッシュカード詐欺盗及びその他の特殊詐欺）の合計、令和８年以降の数値は、１３手口（ＳＮＳ型投資詐欺、ＳＮＳ型ロマンス詐欺、ニセ警察詐欺、オレオレ詐欺、預貯金詐欺、架空料金請求詐欺、融資保証金詐欺、還付金詐欺、金融商品詐欺、ギャンブル詐欺、交際あっせん詐欺、キャッシュカード詐欺盗及びその他の特殊詐欺）を合計したものである。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注４),　金融商品詐欺、ギャンブル詐欺、交際あっせん詐欺及びその他の特殊詐欺の４手口については、認知件数・被害総額は平成２２年２月から、検挙件数・検挙人員は平成２３年１月からの集計値である。ＳＮＳ型投資詐欺及びＳＮＳ型ロマンス詐欺の２手口については、認知件数・被害総額は令和５年１月から、検挙件数・検挙人員は令和６年１月からの集計値である。ニセ警察詐欺については、認知件数・被害総額は令和７年１月から、検挙件数・検挙人員は令和８年１月からの集計値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注５),　ＳＮＳ型投資詐欺及びＳＮＳ型ロマンス詐欺は令和６年から、その他の１１手口（ニセ警察詐欺、オレオレ詐欺、預貯金詐欺、架空料金請求詐欺、融資保証金詐欺、還付金詐欺、金融商品詐欺、ギャンブル詐欺、交際あっせん詐欺、キャッシュカード詐欺盗及びその他の特殊詐欺）は令和８年から、検挙件数及び検挙人員に犯罪収益が同詐欺に由来する組織的犯罪処罰法違反を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注６),　令和７年、令和８年の数値は暫定値である（下記の表についても同じ）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２−１　ＳＮＳ型投資詐欺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,令和８年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
